#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-7221.318498919692,-5947.5213104505165,243.95287603700476,0
1000,2.0000000000000013,-7144.397305434484,-5534.026370931861,308.41222175285145,30.4
1500,2.999999999999891,-7079.101915041903,-5531.322192484434,296.42498680926326,30.2
2000,3.999999999999781,-6995.333874378982,-5412.406265901105,303.1563785367081,30
2500,4.999999999999671,-7034.230495965533,-5465.718725965356,300.3955110383696,30.3
3000,5.999999999999561,-7008.703401935684,-5192.711470986097,347.7919863738702,30.5
3500,6.999999999999451,-6953.852812958172,-5260.439402437324,324.316206344171,30.4
4000,7.999999999999341,-6868.996415985019,-5193.12688451129,320.95626820870257,30.3
4500,8.999999999999675,-6989.598907495466,-5248.998998056994,333.3531882320846,30.2
5000,10.000000000000009,-6852.646357313202,-5245.846477283201,307.72830674898177,30.2
5500,11.000000000000343,-6952.564076847377,-5260.566838156494,324.0449864089962,30.1
6000,12.000000000000677,-7035.652561052903,-5466.40824036154,300.5358064084452,30
6500,13.00000000000101,-7029.846958287675,-5382.927235512209,315.41190906221254,29.9
7000,14.000000000001345,-6930.494966319436,-5348.220390502989,303.03131216245,29.9
7500,15.000000000001679,-6963.784995170399,-5405.84863504386,298.3701480706239,29.8
8000,16.00000000000201,-7008.827865102336,-5573.974068145627,274.7978356592801,29.7
8500,17.000000000001457,-7116.6621389024585,-5483.890085995335,312.70240021351435,29.7
9000,18.000000000000902,-7013.447744821095,-5328.912749654524,322.6158454233481,29.7
9500,19.000000000000348,-7065.850617858793,-5382.742636988319,322.34254897958925,29.7
10000,19.999999999999794,-7100.759494548494,-5466.157541406608,313.0528558662447,29.7
10500,20.99999999999924,-7054.563482221745,-5461.712518372968,305.0568624634923,29.7
11000,21.999999999998685,-7061.608976395534,-5471.473303954641,304.5368400029089,29.7
11500,22.99999999999813,-7074.92117409475,-5588.588620177306,284.6568547629992,29.7
12000,23.999999999997577,-7166.844706170634,-5670.20761651856,286.63034092817924,29.7
12500,24.999999999997023,-7056.09819435496,-5552.090623046376,288.0419080239149,29.6
13000,25.99999999999647,-7086.512933866075,-5496.325139637074,304.5468221729343,29.6
13500,26.999999999995914,-7013.828045030572,-5431.489881119307,303.04349031667505,29.6
14000,27.99999999999536,-6947.605018486265,-5418.090710007381,292.9268629816918,29.6
14500,28.999999999994806,-7016.926518329691,-5425.648639344125,304.7555911307366,29.6
15000,29.99999999999425,-6989.669172368371,-5411.178011530843,302.30672666822545,29.6
15500,30.999999999993697,-7252.71905649802,-5582.950269967944,319.78787634189297,29.6
16000,31.999999999993143,-7177.226370206716,-5654.213122222103,291.6818041770212,29.5
