#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-7176.135191321812,-5804.931841456432,262.60773995995487,011000,2.0000000000000013,-7104.540256103606,-5660.835062476658,276.49302206273285,98.151500,2.999999999999891,-7079.723364956187,-5448.398894506629,312.4251646323553,962000,3.999999999999781,-7058.334840731755,-5428.008810520926,312.23394709003867,92
2500,4.999999999999671,-6972.045201662953,-5385.019045830898,303.94131700546654,92.5
3000,5.999999999999561,-6941.566083325602,-5413.106767281258,292.7248147742276,92.5
3500,6.999999999999451,-6911.367874570157,-5389.933652341744,291.37939506664776,92.4
4000,7.999999999999341,-6939.494692623815,-5364.785682114962,301.5823833750885,92.5
4500,8.999999999999675,-6969.351534004911,-5301.480708287088,319.4243859817742,92.8
5000,10.000000000000009,-6972.74876122274,-5384.672286758468,304.14247010378074,92.8
5500,11.000000000000343,-6891.058559984116,-5355.060349076926,294.1686357377059,93
6000,12.000000000000677,-6836.6076265670235,-5240.772739028656,305.628332374511,93.2
6500,13.00000000000101,-7036.335152297464,-5272.913253009341,337.7239704186906,93.3
7000,14.000000000001345,-6913.705204713835,-5196.744139142429,328.8259652174924,93.5
7500,15.000000000001679,-6859.009866084627,-5251.434570641164,307.87681141043794,93.6
8000,16.00000000000201,-6956.391089403972,-5427.769212591717,292.7559478048397,93.6
8500,17.000000000001457,-6913.801304446862,-5311.774371141943,306.8142098336365,93.7
9000,18.000000000000902,-6812.638174598863,-5100.634444193822,327.8765549171232,93.8
9500,19.000000000000348,-6902.565201133109,-5335.162222225396,300.18315951304083,93.9
10000,19.999999999999794,-6917.520586455499,-5345.801875648042,301.0096923541223,93.9
10500,20.99999999999924,-6925.797682067362,-5308.85244690328,309.6713072405673,94
11000,21.999999999998685,-6945.016297545542,-5396.1080141009015,296.6411245717742,94
11500,22.99999999999813,-7020.200499682918,-5356.32920891652,318.65840999827964,94.1
12000,23.999999999997577,-6880.820985649134,-5243.273929152758,313.61689105179687,94.1
12500,24.999999999997023,-7038.28610587846,-5414.799182647394,310.92414688609637,94.2
13000,25.99999999999647,-7090.315523850533,-5606.333785828662,284.2066352901116,94.3
13500,26.999999999995914,-6934.840878196752,-5347.825579343994,303.93923771737525,94.3
14000,27.99999999999536,-6938.385360071688,-5264.082993826835,320.65613058218685,94.4
14500,28.999999999994806,-6975.266661082447,-5357.597287720961,309.8099914812803,94.4
15000,29.99999999999425,-6952.403962319257,-5387.321488888045,299.7387449783121,94.4
15500,30.999999999993697,-6929.7669506635875,-5348.973221178008,302.74770600861785,94.4
16000,31.999999999993143,-7015.500182945401,-5489.772878437461,292.2015901371303,94.5
16500,32.999999999994365,-7015.855487301862,-5492.056880275861,291.83221320492834,94.5
17000,33.99999999999559,-6969.823620420348,-5492.682229184909,282.8965976430305,94.5
17500,34.99999999999681,-7075.737091343888,-5469.212971027886,307.6754942793563,94.5
18000,35.99999999999803,-6945.310742050129,-5387.9032511707765,298.26886100933444,94.5
18500,36.999999999999254,-6804.25200037983,-5218.761463752209,303.6472209556317,94.6
19000,38.000000000000476,-6918.624560901628,-5192.422843575137,330.59570029974566,93.4
19500,39.0000000000017,-7078.857813258472,-5572.769631845966,288.4403786936245,92
20000,40.00000000000292,-7000.693670551769,-5452.365262119594,296.53006907697977,85.7
20500,41.00000000000414,-6866.842529955386,-5281.7093756178165,303.5787764353487,84.7
21000,42.000000000005365,-6907.324969708108,-5285.266164139759,310.650639129687,83.8
21500,43.00000000000659,-6872.510921685419,-5252.15943891081,310.3236590502623,83
